Source,Destination,Weight,Source_Name,Destination_Name
UC8EvpwztW9m2dF1-A2ijQxg,UCi7YLOUOMQF7At2piFX3Piw,2,@FelipeKana1,@Rappasta
UCTA-MXare3lmK5dyC7Zowag,UCKPgLQb1Nli3iyNRFRGpttg,2,@Some0ne001,@mms3453
UC4WSqR97CPwf_sEKkBDutwA,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@StanHowse,@IgorReminnyi
UCvgCFXYIMspzAUO6IsSGWQg,UC-EVWjDDEmcrjFHU9UmAEIw,2,@angelajohnson601,@whoisbarnes
UCNyXYwCY61J7a1tofSkB0sg,UCFk__1iexL3T5gvGcMpeHNA,2,@larryhoward.Jhn316,@LookingGlassUniverse
UCTB_AY_4jg2YwqknRyeaLeA,UC-EVWjDDEmcrjFHU9UmAEIw,2,@yesdude3914,@whoisbarnes
UC4pK6scs_Z6XyB9r1Ie_-Zw,UCULZ1kTiSXNVEoLTXM7upZA,2,@Dezenaamisnietbeschikbaar,@darksmile4719
UCry552YVC80y0pr4zWnFUNA,UCuq_Q965lnRvOUPjFInM2Xg,2,@zenodezeno454,@comedylizzylizzy
UCvVyjV0xBXclaNosfFMoJ5A,UCaS20pmd_ZIpzmWijxoxC6Q,2,@JustGaming117,@kiddyjack1763
UCegkuhpHqBZzTF6RFWi9B2A,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@Gobbldeegoo1,@mipaloma
UCbgSCrYVIjXGxY3lrg1fxOw,UCacb35u74L22zFxpRJa1afA,2,@Lumpsack,@job_done_488
UCM6tsSLJfr_-xV4hfzOsmSg,UCFk__1iexL3T5gvGcMpeHNA,2,@cg56578,@LookingGlassUniverse
UCvL8YdHBX9pt1B4Xpq4TguA,UCKPgLQb1Nli3iyNRFRGpttg,2,@chadada8866,@mms3453
UCAQQv5x2PwodzsHmdElK-Yg,UC_tMMlDIuboT0GK1McI7WFQ,2,@jjacky231,@EgushYT
UCoA9csiywwv7DQ2hi8M9OkA,UCpHQ8mSF19Ml1Yk_hnGcoeQ,2,@natzbarney4504,@Silas2-p7c
UC52C5r2laqosO_4AkHFv8iw,UCwicfou4Ewu-koikmga-bEg,2,@AngelLopez-kl6cl,@AI_In_Context
UC9vYxrN_MfLxLPAQOPmRzuQ,UCFk__1iexL3T5gvGcMpeHNA,2,@underleft,@LookingGlassUniverse
UChCBaF8UTC9psyIfD1dfCQg,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@TheSlimjim13579,@IgorReminnyi
UCcFp60HrksSV5HQ4afT6mRQ,UCaItA_xyCNvDSf-DLkzClRg,2,@mr.m.t.j.m6003,@Siliconversations
UCoJ9X-2zcVNP8p_7eJy31sQ,UCUywK4mMy72hZyofjOFVJFA,2,@NexasAxiom,@buga125
UCET1CeXMQCW3-jXs2LG30fQ,UCZQiLDYpHYBJmtUf7DuSVog,2,@yaar3703,@victorianorphan
UCnwXatpYh02pVzLnfrtgGqA,UC8AXGgAAcxCNN3YlTu_rvAA,2,@risadu3659,@djautotur4875
UCNyXYwCY61J7a1tofSkB0sg,UCOtYf0KC_w67do1xXoP4gvw,2,@larryhoward.Jhn316,@mousermind
UCh_ZHKs1qPhXSv8dfsFxxZA,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@soulonfire77,@mipaloma
UCOeNj9DCtp2uOYYD9CpuHLA,UCKPgLQb1Nli3iyNRFRGpttg,2,@cacogenicist,@mms3453
